Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
0,3,male,22.0,1.0,0.0,7.25,S
1,1,female,38.0,1.0,0.0,181.64499999999998,C
1,3,female,26.0,0.0,0.0,7.925,S
1,1,female,35.0,1.0,0.0,53.1,S
0,3,male,35.0,0.0,0.0,8.05,S
0,3,male,28.0,0.0,0.0,84.583,Q
0,1,male,54.0,0.0,0.0,181.64499999999998,S
0,3,male,2.0,2.5,0.0,21.075,S
1,3,female,27.0,0.0,0.0,111.333,S
1,2,female,14.0,1.0,0.0,181.64499999999998,C
1,3,female,4.0,1.0,0.0,16.7,S
1,1,female,57.0,0.0,0.0,26.55,S
0,3,male,20.0,0.0,0.0,8.05,S
0,3,male,39.0,1.0,0.0,31.275,S
0,3,female,14.0,0.0,0.0,78.542,S
1,2,female,55.0,0.0,0.0,16.0,S
0,3,male,2.0,2.5,0.0,29.125,Q
1,2,male,28.0,0.0,0.0,13.0,S
0,3,female,31.0,1.0,0.0,18.0,S
1,3,female,28.0,0.0,0.0,7.225,C
0,2,male,35.0,0.0,0.0,26.0,S
1,2,male,34.0,0.0,0.0,13.0,S
1,3,female,15.0,0.0,0.0,80.292,Q
1,1,male,28.0,0.0,0.0,35.5,S
0,3,female,8.0,2.5,0.0,21.075,S
1,3,female,38.0,1.0,0.0,181.64499999999998,S
0,3,male,28.0,0.0,0.0,7.225,C
0,1,male,19.0,2.5,0.0,181.64499999999998,S
1,3,female,28.0,0.0,0.0,78.792,Q
0,3,male,28.0,0.0,0.0,78.958,S
0,1,male,40.0,0.0,0.0,181.64499999999998,C
1,1,female,28.0,1.0,0.0,27.75,C
1,3,female,28.0,0.0,0.0,7.75,Q
0,2,male,57.0,0.0,0.0,10.5,S
0,1,male,28.0,1.0,0.0,181.64499999999998,C
0,1,male,42.0,1.0,0.0,52.0,S
1,3,male,28.0,0.0,0.0,72.292,C
0,3,male,21.0,0.0,0.0,8.05,S
0,3,female,18.0,2.0,0.0,18.0,S
1,3,female,14.0,1.0,0.0,112.417,C
0,3,female,40.0,1.0,0.0,9.475,S
0,2,female,27.0,1.0,0.0,21.0,S
0,3,male,28.0,0.0,0.0,78.958,C
1,2,female,3.0,1.0,0.0,181.64499999999998,C
1,3,female,19.0,0.0,0.0,78.792,Q
0,3,male,28.0,0.0,0.0,8.05,S
0,3,male,28.0,1.0,0.0,15.5,Q
1,3,female,28.0,0.0,0.0,7.75,Q
0,3,male,28.0,2.0,0.0,181.64499999999998,C
0,3,female,18.0,1.0,0.0,17.8,S
0,3,male,7.0,2.5,0.0,181.64499999999998,S
0,3,male,21.0,0.0,0.0,7.8,S
1,1,female,49.0,1.0,0.0,181.64499999999998,C
1,2,female,29.0,1.0,0.0,26.0,S
0,1,male,57.0,0.0,0.0,181.64499999999998,C
1,1,male,28.0,0.0,0.0,35.5,S
1,2,female,21.0,0.0,0.0,10.5,S
0,3,male,28.5,0.0,0.0,72.292,C
1,2,female,5.0,1.0,0.0,27.75,S
0,3,male,11.0,2.5,0.0,46.9,S
0,3,male,22.0,0.0,0.0,72.292,C
1,1,female,38.0,0.0,0.0,80.0,S
0,1,male,45.0,1.0,0.0,83.475,S
0,3,male,4.0,2.5,0.0,27.9,S
0,1,male,28.0,0.0,0.0,181.64499999999998,C
1,3,male,28.0,1.0,0.0,152.458,C
1,2,female,29.0,0.0,0.0,10.5,S
0,3,male,19.0,0.0,0.0,81.583,S
1,3,female,17.0,2.5,0.0,7.925,S
0,3,male,26.0,2.0,0.0,86.625,S
0,2,male,32.0,0.0,0.0,10.5,S
0,3,female,16.0,2.5,0.0,46.9,S
0,2,male,21.0,0.0,0.0,73.5,S
0,3,male,26.0,1.0,0.0,144.542,C
1,3,male,32.0,0.0,0.0,181.64499999999998,S
0,3,male,25.0,0.0,0.0,7.65,S
0,3,male,28.0,0.0,0.0,78.958,S
0,3,male,28.0,0.0,0.0,8.05,S
1,2,male,1.0,0.0,0.0,29.0,S
1,3,female,30.0,0.0,0.0,12.475,S
0,3,male,22.0,0.0,0.0,9.0,S
1,3,male,29.0,0.0,0.0,9.5,S
1,3,female,28.0,0.0,0.0,77.875,Q
0,1,male,28.0,0.0,0.0,47.1,S
1,2,female,17.0,0.0,0.0,10.5,S
1,3,female,33.0,2.5,0.0,15.85,S
0,3,male,16.0,1.0,0.0,34.375,S
0,3,male,28.0,0.0,0.0,8.05,S
1,1,female,23.0,2.5,0.0,181.64499999999998,S
0,3,male,24.0,0.0,0.0,8.05,S
0,3,male,29.0,0.0,0.0,8.05,S
0,3,male,20.0,0.0,0.0,78.542,S
0,1,male,46.0,1.0,0.0,61.175,S
0,3,male,26.0,1.0,0.0,20.575,S
0,3,male,57.0,0.0,0.0,7.25,S
0,3,male,28.0,0.0,0.0,8.05,S
0,1,male,57.0,0.0,0.0,181.64499999999998,C
1,1,male,23.0,0.0,0.0,181.64499999999998,C
1,2,female,34.0,0.0,0.0,23.0,S
0,2,male,34.0,1.0,0.0,26.0,S
0,3,female,28.0,0.0,0.0,78.958,S
0,3,male,28.0,0.0,0.0,78.958,S
0,1,male,21.0,0.0,0.0,181.64499999999998,S
0,3,male,33.0,0.0,0.0,86.542,S
0,3,male,37.0,2.0,0.0,7.925,S
0,3,male,28.0,0.0,0.0,78.958,S
1,3,female,21.0,0.0,0.0,7.65,S
1,3,male,28.0,0.0,0.0,7.775,S
0,3,male,38.0,0.0,0.0,78.958,S
1,3,female,28.0,1.0,0.0,24.15,Q
0,1,male,47.0,0.0,0.0,52.0,S
0,3,female,14.5,1.0,0.0,144.542,C
0,3,male,22.0,0.0,0.0,8.05,S
0,3,female,20.0,1.0,0.0,9.825,S
0,3,female,17.0,0.0,0.0,144.583,C
0,3,male,21.0,0.0,0.0,7.925,S
0,3,male,57.0,0.0,0.0,7.75,Q
0,2,male,29.0,1.0,0.0,21.0,S
0,1,male,24.0,0.0,0.0,27.75,C
0,3,female,2.0,2.5,0.0,31.275,S
0,2,male,21.0,2.0,0.0,73.5,S
0,3,male,28.0,0.0,0.0,8.05,S
0,2,male,32.5,1.0,0.0,181.64499999999998,C
1,2,female,32.5,0.0,0.0,13.0,S
0,1,male,54.0,0.0,0.0,181.64499999999998,S
1,3,male,12.0,1.0,0.0,112.417,C
0,3,male,28.0,0.0,0.0,7.75,Q
1,3,male,24.0,0.0,0.0,71.417,S
1,3,female,28.0,1.0,0.0,181.64499999999998,C
0,3,male,45.0,0.0,0.0,6.975,S
0,3,male,33.0,0.0,0.0,78.958,C
0,3,male,20.0,0.0,0.0,7.05,S
0,3,female,47.0,1.0,0.0,14.5,S
1,2,female,29.0,1.0,0.0,26.0,S
0,2,male,25.0,0.0,0.0,13.0,S
0,2,male,23.0,0.0,0.0,150.458,C
1,1,female,19.0,0.0,0.0,181.64499999999998,S
0,1,male,37.0,1.0,0.0,53.1,S
0,3,male,16.0,0.0,0.0,92.167,S
0,1,male,24.0,0.0,0.0,79.2,C
0,3,female,28.0,0.0,0.0,152.458,C
1,3,female,22.0,0.0,0.0,7.75,S
1,3,female,24.0,1.0,0.0,15.85,S
0,3,male,19.0,0.0,0.0,6.75,Q
0,2,male,18.0,0.0,0.0,11.5,S
0,2,male,19.0,1.0,0.0,36.75,S
1,3,male,27.0,0.0,0.0,77.958,S
0,3,female,9.0,2.0,0.0,34.375,S
0,2,male,36.5,0.0,0.0,26.0,S
0,2,male,42.0,0.0,0.0,13.0,S
0,2,male,51.0,0.0,0.0,12.525,S
1,1,female,22.0,1.0,0.0,66.6,S
0,3,male,55.5,0.0,0.0,8.05,S
0,3,male,40.5,0.0,0.0,14.5,S
0,3,male,28.0,0.0,0.0,73.125,S
0,1,male,51.0,0.0,0.0,181.64499999999998,C
1,3,female,16.0,0.0,0.0,77.333,Q
0,3,male,30.0,0.0,0.0,8.05,S
0,3,male,28.0,0.0,0.0,86.625,S
0,3,male,28.0,2.5,0.0,69.55,S
0,3,male,44.0,0.0,0.0,16.1,S
1,2,female,40.0,0.0,0.0,15.75,S
0,3,male,26.0,0.0,0.0,7.775,S
0,3,male,17.0,0.0,0.0,86.625,S
0,3,male,1.0,2.5,0.0,181.64499999999998,S
1,3,male,9.0,0.0,0.0,20.525,S
1,1,female,28.0,0.0,0.0,55.0,S
0,3,female,45.0,1.0,0.0,27.9,S
0,1,male,28.0,0.0,0.0,25.925,S
0,3,male,28.0,0.0,0.0,181.64499999999998,S
0,1,male,57.0,0.0,0.0,33.5,S
0,3,male,4.0,2.5,0.0,29.125,Q
1,3,female,1.0,1.0,0.0,111.333,S
0,3,male,21.0,0.0,0.0,7.925,S
0,1,male,56.0,0.0,0.0,181.64499999999998,C
0,3,male,18.0,1.0,0.0,78.542,S
0,3,male,28.0,2.5,0.0,181.64499999999998,S
0,1,female,50.0,0.0,0.0,181.64499999999998,C
0,2,male,30.0,0.0,0.0,13.0,S
0,3,male,36.0,0.0,0.0,0.0,S
0,3,female,28.0,2.5,0.0,69.55,S
0,2,male,28.0,0.0,0.0,15.05,C
0,3,male,9.0,2.5,0.0,181.64499999999998,S
1,2,male,1.0,2.0,0.0,39.0,S
1,3,female,4.0,0.0,0.0,22.025,S
0,1,male,28.0,0.0,0.0,50.0,S
1,3,female,28.0,1.0,0.0,15.5,Q
1,1,male,45.0,0.0,0.0,26.55,S
0,3,male,40.0,1.0,0.0,15.5,Q
0,3,male,36.0,0.0,0.0,78.958,S
1,2,female,32.0,0.0,0.0,13.0,S
0,2,male,19.0,0.0,0.0,13.0,S
1,3,female,19.0,1.0,0.0,78.542,S
1,2,male,3.0,1.0,0.0,26.0,S
1,1,female,44.0,0.0,0.0,181.64499999999998,C
1,1,female,57.0,0.0,0.0,27.75,C
0,3,male,28.0,0.0,0.0,7.75,Q
0,3,male,42.0,0.0,0.0,84.042,S
1,3,female,28.0,0.0,0.0,7.75,Q
0,2,female,24.0,0.0,0.0,13.0,S
0,3,male,28.0,0.0,0.0,9.5,S
0,3,male,28.0,2.5,0.0,69.55,S
0,3,male,34.0,0.0,0.0,64.958,S
0,3,male,45.5,0.0,0.0,7.225,C
1,3,male,18.0,0.0,0.0,8.05,S
0,3,female,2.0,0.0,0.0,104.625,S
0,3,male,32.0,1.0,0.0,15.85,S
1,3,male,26.0,0.0,0.0,181.64499999999998,C
1,3,female,16.0,0.0,0.0,7.75,Q
1,1,male,40.0,0.0,0.0,31.0,C
0,3,male,24.0,0.0,0.0,7.05,S
1,2,female,35.0,0.0,0.0,21.0,S
0,3,male,22.0,0.0,0.0,7.25,S
0,2,male,30.0,0.0,0.0,13.0,S
0,3,male,28.0,1.0,0.0,7.75,Q
1,1,female,31.0,1.0,0.0,113.275,C
1,3,female,27.0,0.0,0.0,7.925,S
0,2,male,42.0,1.0,0.0,27.0,S
1,1,female,32.0,0.0,0.0,181.64499999999998,C
0,2,male,30.0,0.0,0.0,10.5,S
1,3,male,16.0,0.0,0.0,8.05,S
0,2,male,27.0,0.0,0.0,13.0,S
0,3,male,51.0,0.0,0.0,8.05,S
0,3,male,28.0,0.0,0.0,78.958,S
1,1,male,38.0,1.0,0.0,90.0,S
0,3,male,22.0,0.0,0.0,9.35,S
1,2,male,19.0,0.0,0.0,10.5,S
0,3,male,20.5,0.0,0.0,7.25,S
0,2,male,18.0,0.0,0.0,13.0,S
0,3,female,28.0,2.5,0.0,181.64499999999998,S
1,1,female,35.0,1.0,0.0,83.475,S
0,3,male,29.0,0.0,0.0,7.775,S
0,2,male,57.0,0.0,0.0,13.5,S
1,3,female,5.0,2.5,0.0,181.64499999999998,S
0,2,male,24.0,0.0,0.0,10.5,S
0,3,female,28.0,0.0,0.0,7.55,S
0,2,male,44.0,1.0,0.0,26.0,S
1,2,female,8.0,0.0,0.0,26.25,S
0,2,male,19.0,0.0,0.0,10.5,S
0,2,male,33.0,0.0,0.0,12.275,S
0,3,female,28.0,1.0,0.0,144.542,C
1,3,female,28.0,1.0,0.0,15.5,Q
0,2,male,29.0,0.0,0.0,10.5,S
0,3,male,22.0,0.0,0.0,7.125,S
0,3,male,30.0,0.0,0.0,7.225,C
0,1,male,44.0,2.0,0.0,90.0,Q
0,3,female,25.0,0.0,0.0,7.775,S
1,2,female,24.0,0.0,0.0,14.5,S
1,1,male,37.0,1.0,0.0,181.64499999999998,S
0,2,male,54.0,1.0,0.0,26.0,S
0,3,male,28.0,0.0,0.0,7.25,S
0,3,female,29.0,1.0,0.0,104.625,S
0,1,male,57.0,0.0,0.0,26.55,S
0,3,male,30.0,1.0,0.0,16.1,S
0,3,female,41.0,0.0,0.0,181.64499999999998,S
1,3,female,29.0,0.0,0.0,152.458,C
1,1,female,28.0,0.0,0.0,79.2,C
1,1,female,30.0,0.0,0.0,86.5,S
1,1,female,35.0,0.0,0.0,27.75,C
1,2,female,50.0,0.0,0.0,26.0,S
0,3,male,28.0,0.0,0.0,7.75,Q
1,3,male,3.0,2.5,0.0,181.64499999999998,S
0,1,male,52.0,1.0,0.0,79.65,S
0,1,male,40.0,0.0,0.0,0.0,S
0,3,female,28.0,0.0,0.0,7.75,Q
0,2,male,36.0,0.0,0.0,10.5,S
0,3,male,16.0,2.5,0.0,181.64499999999998,S
1,3,male,25.0,1.0,0.0,7.775,S
1,1,female,57.0,0.0,0.0,27.75,S
1,1,female,35.0,0.0,0.0,27.75,S
0,1,male,28.0,0.0,0.0,31.0,S
1,3,male,25.0,0.0,0.0,0.0,S
1,2,female,41.0,0.0,0.0,19.5,S
0,1,male,37.0,0.0,0.0,29.7,C
1,3,female,28.0,0.0,0.0,7.75,Q
1,1,female,57.0,1.0,0.0,181.64499999999998,S
0,3,female,45.0,0.0,0.0,7.75,S
0,2,male,28.0,0.0,0.0,0.0,S
0,3,male,7.0,2.5,0.0,29.125,Q
1,3,female,35.0,1.0,0.0,20.25,S
0,3,male,57.0,0.0,0.0,7.75,Q
0,3,male,28.0,0.0,0.0,78.542,S
0,3,male,16.0,0.0,0.0,9.5,S
1,3,male,19.0,0.0,0.0,8.05,S
0,1,male,28.0,0.0,0.0,26.0,S
0,3,male,33.0,0.0,0.0,86.625,C
1,3,male,30.0,0.0,0.0,9.5,S
0,3,male,22.0,0.0,0.0,78.958,S
1,2,male,42.0,0.0,0.0,13.0,S
1,3,female,22.0,0.0,0.0,7.75,Q
1,1,female,26.0,0.0,0.0,78.85,S
1,1,female,19.0,1.0,0.0,181.64499999999998,C
0,2,male,36.0,0.0,0.0,12.875,C
0,3,female,24.0,0.0,0.0,8.85,S
0,3,male,24.0,0.0,0.0,78.958,S
0,1,male,28.0,0.0,0.0,181.64499999999998,C
0,3,male,23.5,0.0,0.0,72.292,C
0,1,female,2.0,1.0,0.0,151.55,S
1,1,male,28.0,0.0,0.0,30.5,S
1,1,female,50.0,0.0,0.0,27.75,C
1,3,female,28.0,0.0,0.0,7.75,Q
1,3,male,28.0,2.0,0.0,23.25,Q
0,3,male,19.0,0.0,0.0,0.0,S
1,2,female,28.0,0.0,0.0,12.35,Q
0,3,male,28.0,0.0,0.0,8.05,S
1,1,male,1.0,1.0,0.0,151.55,S
1,1,female,28.0,0.0,0.0,27.75,C
1,1,female,17.0,1.0,0.0,108.9,C
0,2,male,30.0,1.0,0.0,24.0,C
1,1,female,30.0,0.0,0.0,181.64499999999998,C
1,1,female,24.0,0.0,0.0,181.64499999999998,C
1,1,female,18.0,2.0,0.0,181.64499999999998,C
0,2,female,26.0,1.0,0.0,26.0,S
0,3,male,28.0,0.0,0.0,78.958,S
0,2,male,43.0,1.0,0.0,26.25,S
1,3,female,26.0,0.0,0.0,78.542,S
1,2,female,24.0,1.0,0.0,26.0,S
0,2,male,54.0,0.0,0.0,14.0,S
1,1,female,31.0,0.0,0.0,27.75,S
1,1,female,40.0,1.0,0.0,134.5,C
0,3,male,22.0,0.0,0.0,7.25,S
0,3,male,27.0,0.0,0.0,78.958,S
1,2,female,30.0,0.0,0.0,12.35,Q
1,2,female,22.0,1.0,0.0,29.0,S
0,3,male,28.0,2.5,0.0,69.55,S
1,1,female,36.0,0.0,0.0,27.75,C
0,3,male,57.0,0.0,0.0,62.375,S
1,2,female,36.0,0.0,0.0,13.0,S
1,3,female,31.0,1.0,0.0,20.525,S
1,1,female,16.0,0.0,0.0,181.64499999999998,C
1,3,female,28.0,2.0,0.0,23.25,Q
0,1,male,45.5,0.0,0.0,28.5,S
0,1,male,38.0,0.0,0.0,27.75,S
0,3,male,16.0,2.0,0.0,18.0,S
1,1,female,28.0,1.0,0.0,133.65,S
0,3,male,28.0,0.0,0.0,78.958,S
0,1,male,29.0,1.0,0.0,66.6,S
1,1,female,41.0,0.0,0.0,134.5,C
1,3,male,45.0,0.0,0.0,8.05,S
0,1,male,45.0,0.0,0.0,35.5,S
1,2,male,2.0,1.0,0.0,26.0,S
1,1,female,24.0,2.5,0.0,181.64499999999998,S
0,2,male,28.0,0.0,0.0,13.0,S
0,2,male,25.0,0.0,0.0,13.0,S
0,2,male,36.0,0.0,0.0,13.0,S
1,2,female,24.0,0.0,0.0,13.0,S
1,2,female,40.0,0.0,0.0,13.0,S
1,3,female,28.0,1.0,0.0,16.1,S
1,3,male,3.0,1.0,0.0,15.9,S
0,3,male,42.0,0.0,0.0,86.625,S
0,3,male,23.0,0.0,0.0,9.225,S
0,1,male,28.0,0.0,0.0,35.0,S
